"Formula","Name","Comment"
"Ag","Silver","Forms oxide, sulfide and chloride layers in air"
"Ag2O",,
"Ag2S",,
"Ag2Te",,
"AgCl",,
"Al",,"Oxidizes to 4 nm"
"Al2O3",,
"Al2SiO5",,
"AlF3",,
"AlN",,
"Au",,
"B",,
"B4C",,
"BN",,
"B2O3",
"BP",,
"Ba(NO3)2",,
"Ba2NaNb5O15",,
"BaCl2",,
"BaF2",,
"BaSO4",,
"BaTi4O9",,
"BaTiO3",,
"BaTiSi3O9",,
"Be",,
"BeAl2O4",,
"Bi",,
"Bi12GeO20",,
"Bi2O3",,
"Bi2Se3",,
"Bi2Te3",,
"C",,
"Ca3Cr2Si3O12",,
"Ca5(PO4)3F",,
"CaAl2Si2O8",,
"CaCO3",,
"CaF2",,
"CaMg(CO3)2",,
"CaMgSi2O6",,
"CaMoO4",,
"CaSO4",,
"CaSiO3",,
"CaTiSiO5",,
"CaTiO3",,
"CaWO4",,
"CaZrTi2O7",,
"Cd",,
"CdS",,
"CdSe",,
"CdTe",,
"CeF3",,
"CeO2",,
"CeAl2",,
"CeP5O14",,
"CePO4",,
"Co",,
"CoO",,
"Co3O4",,
"CoSi2",,
"Cr",,
"Cr2N",,
"CrN",,
"Cr2O3",,
"Cr3C2",,
"Cs2SiF6",,
"CsAlSi2O6",,
"CsBr",,
"CsNO2",,
"CsI",,
"Cu",,
"Cu2O",,
"Cu2S",,
"CuFeS2",,
"CuSO4",,
"CuO",,
"CuS",,
"Dy",,
"DyF3",,
"DyP5O14",,
"Er",,
"ErP5O14",,
"Er2O3",,
"Eu2O3",,
"EuF3",,
"EuP5O14",,
"Fe",,
"Fe2SiO4",,
"Fe2O3",,
"Fe2P",,
"Fe3Al2Si3O12",,
"Fe3N",,
"Fe4N",,
"Fe3O4",,
"FeF3",,
"FeO",,
"FeP",,
"FeS",,
"FeS2",,
"FeSi2",
"GaAs",,
"Ga2O3",,
"GaN",,
"GaP",,
"GaSb",,
"Ga2Se3",,
"Gd",,
"GaS",,
"GdF3",,
"Gd2O3",,
"Gd3Ga5O12",,
"GdP5O14",,
"Ge",,
"GeO",,
"GeO2",,
"Hf",,
"HfB2",,
"HfC",,
"HfN",,
"HfO2",,
"HgS",,
"HgTe",,
"Ho",,
"HoP5O14",,
"HoF3",,
"Ho2O3",,
"In",,
"In2Se3",,
"In2Te3",,
"InAs",,
"InP",,
"IsN",,
"InSb",,
"In2O3",,
"Ir",,
"K2SiF6",,
"KAlSi3O8",,
"KBr",,
"KCl",,
"KI",,
"LaB6",,
"LaF3",,
"LaPO4",,
"La2O3",,
"LiAlSi2O6",,
"LiF",,
"LiNbO3",,
"LiTaO3",,
"Lu",,
"LuF3",,
"LuP5O14",,
"LuSi2",,
